"파워링크보고서(2025.06.01.~2025.06.30.),adda-adda:naver"
"광고그룹유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수,전환매출액(원)
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,치평동PT,PC,3,0,0,0,3.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,치평동요가,PC,4,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,치평동운동,PC,7,0,0,0,2.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,치평동피티,PC,2,0,0,0,3.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,치평동필라테스,PC,50,2,259,517,3.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,치평동헬스장,PC,83,0,0,0,5.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동PT,PC,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동요가,PC,13,0,0,0,2.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동피티,PC,9,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동필라테스,PC,104,0,0,0,5.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동헬스,PC,213,0,0,0,3.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동헬스장,PC,74,0,0,0,2.2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동헬스장가격,PC,5,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동헬스장추천,PC,5,0,0,0,1.8,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암동헬스클럽,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,풍암지구필라테스,PC,4,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,필라테스광주,PC,8,0,0,0,2.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동요가추천,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동피트니스,PC,3,0,0,0,9.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동피티,PC,9,0,0,0,7.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동필라테스,PC,108,0,0,0,7.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동필라테스가격,PC,2,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동헬스,PC,4,0,0,0,7.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동헬스장,PC,156,1,319,319,9.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,지역KW_PC,화정동헬스클럽,PC,1,0,0,0,1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,-,모바일,164,1,77,77,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,1대1필라테스,모바일,3,0,0,0,4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,40대여자운동,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,개인필라테스,모바일,3,0,0,0,3.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,골반유연성,모바일,10,0,0,0,1.4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,교정필라테스,모바일,4,0,0,0,4,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,그룹필라테스,모바일,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,근력운동,모바일,9,0,0,0,5.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,기구필라테스가격,모바일,34,1,550,550,2.7,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,매트필라테스,모바일,7,1,561,561,4.3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,목디스크필라테스,모바일,17,0,0,0,2.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,몸이야필라테스,모바일,"1,220",45,431,"19,393",1,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,소도구필라테스,모바일,4,0,0,0,5.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,일대일필라테스,모바일,2,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,임산부운동,모바일,2,0,0,0,9,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,장흥필라테스,모바일,2,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,저렴한필라테스,모바일,3,0,0,0,2,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,척추측만증교정운동,모바일,2,0,0,0,5.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,측만증필라테스,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스,모바일,16,0,0,0,10.5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스가격,모바일,8,1,407,407,6.6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스그룹,모바일,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스금액,모바일,1,0,0,0,3,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스기구,모바일,3,0,0,0,6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스남자,모바일,1,0,0,0,6,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스비용,모바일,1,1,396,396,5,0,0,0,0
"파워링크",BAM_몸이야필라테스_파워링크,메인KW_MO,필라테스수강료,모바일,16,0,0,0,2.1,0,0,0,0
