"요일별보고서(2025.06.01.~2025.06.30.),nobless55:naver"
"요일별",시간대별,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",전환수,전환매출액(원)
"일요일",08시~09시,1,0.57,52,51.7,0,0
"일요일",09시~10시,0,0,0,71.5,0,0
"일요일",10시~11시,1,0.23,141,140.8,0,0
"일요일",11시~12시,1,0.2,124,123.75,0,0
"일요일",12시~13시,4,0.71,90,361.9,0,0
"일요일",13시~14시,3,0.63,79,236.5,0,0
"일요일",14시~15시,2,0.6,105,210.65,0,0
"일요일",15시~16시,3,0.76,77,229.9,0,0
"일요일",16시~17시,2,0.46,71,141.9,0,0
"일요일",17시~18시,4,0.72,96,383.9,0,0
"일요일",18시~19시,6,1.15,90,542.85,0,0
"일요일",19시~20시,2,0.49,70,139.7,0,0
"일요일",20시~21시,4,0.96,54,215.6,0,0
"일요일",21시~22시,3,1.1,71,213.4,0,0
"일요일",22시~23시,4,1.58,76,305.8,0,0
"일요일",23시~00시,5,1.52,90,450.45,0,0
